analysis_tag,dataset,cell_type,cell_count,rarity_group,panel_mode,sample_size,n_edges,n_tfs,n_targets,stability_spearman_mean,stability_spearman_std,topk_jaccard_mean,topk_jaccard_std,null_auc_mean,null_auc_std,null_auc_cellperm_mean,null_auc_cellperm_std,null_auc_geneshuffle_mean,null_auc_geneshuffle_std,null_auc_conservative_mean,null_auc_conservative_std,null_tail_gap_mean,null_tail_gap_std,null_tail_gap_cellperm_mean,null_tail_gap_cellperm_std,null_tail_gap_geneshuffle_mean,null_tail_gap_geneshuffle_std,null_tail_gap_conservative_mean,null_tail_gap_conservative_std,mean_detected_genes,tf_detection_rate,target_detection_rate,median_tf_variance,is_reliable,failure_mode
adaptive_panel,immune,"CD4-positive, alpha-beta T cell",3373,abundant,adaptive_panel,2698,727,80,317,0.8795967837642802,0.018671444826451722,0.7359372119614512,0.031829181007108825,0.5902571098274645,0.0073325241550828875,0.5902571098274645,0.0073325241550828875,0.5308365293105961,0.011602695087864526,0.5308365293105961,0.011602695087864526,0.08981170877814293,0.003501840261613363,0.08981170877814293,0.003501840261613363,-0.10129555687308311,0.05419086342757218,-0.10129555687308311,0.05419086342757218,42.41654313667358,0.23564334420397273,0.10786249311427452,0.13608156144618988,False,Null-overlap (weak signal)
adaptive_panel,immune,"CD8-positive, alpha-beta T cell",2547,abundant,adaptive_panel,2038,727,80,317,0.8778510743455222,0.013317542062454104,0.7744662169246258,0.03334552579011846,0.6055732041193578,0.005006625062943413,0.6055732041193578,0.005006625062943413,0.537693768932263,0.012550127741188747,0.537693768932263,0.012550127741188747,0.11004516016691923,0.004316397693719083,0.11004516016691923,0.004316397693719083,-0.14614239893853664,0.15483896309966358,-0.14614239893853664,0.15483896309966358,45.39497447978013,0.23729387514723205,0.11626965106471522,0.19129899144172668,False,Null-overlap (weak signal)
adaptive_panel,immune,neutrophil,2455,abundant,adaptive_panel,1964,727,80,317,0.9034668814633732,0.016279343585078467,0.8733348614278077,0.028177301190231315,0.6368689088015984,0.007380115196159171,0.6368689088015984,0.007380115196159171,0.5286474346724589,0.011457267241130989,0.5286474346724589,0.011457267241130989,0.16000593826174736,0.005083410113085028,0.16000593826174736,0.005083410113085028,-0.1100686714053154,0.045158533069992575,-0.1100686714053154,0.045158533069992575,59.57515274949083,0.2105040733197556,0.1695631782173765,0.09675738215446472,False,Null-overlap (weak signal)
adaptive_panel,immune,macrophage,2277,abundant,adaptive_panel,1822,727,80,317,0.891543390712471,0.02495287478436254,0.8664277516044512,0.04337919310768782,0.7129902048894194,0.010434586873395811,0.7129902048894194,0.010434586873395811,0.5529506186037095,0.010926187683192168,0.5529506186037095,0.010926187683192168,0.2204054556787014,0.00610251300749461,0.2204054556787014,0.00610251300749461,-0.126999169588089,0.018240613124895267,-0.126999169588089,0.018240613124895267,81.74923144488362,0.3281730346947738,0.2233125383584854,0.21778763830661774,True,Reliable
adaptive_panel,immune,monocyte,888,abundant,adaptive_panel,710,727,80,317,0.8847345739649183,0.02628045635452736,0.8029146354515244,0.031149230738846935,0.686466944103351,0.011125674874011265,0.686466944103351,0.011125674874011265,0.5511062306893283,0.005421508991608773,0.5511062306893283,0.005421508991608773,0.25119143910706043,0.009789105842833625,0.25119143910706043,0.009789105842833625,-0.13170524314045906,0.03911825635048199,-0.13170524314045906,0.03911825635048199,78.23986486486487,0.31561092342342345,0.21346306874698043,0.2193465530872345,True,Reliable
adaptive_panel,immune,plasma cell,861,intermediate,adaptive_panel,689,727,80,317,0.8582973641001972,0.0274607411940974,0.6787054112941684,0.058408142556063684,0.6074070675402864,0.009930191848632988,0.6074070675402864,0.009930191848632988,0.5365497919697879,0.008455655147776813,0.5365497919697879,0.008455655147776813,0.10422026179730892,0.01885276405084745,0.10422026179730892,0.01885276405084745,-0.0839614886790514,0.03208075937725629,-0.0839614886790514,0.03208075937725629,46.282229965156795,0.2398809523809524,0.12149323836636293,0.09085649251937866,False,Null-overlap (weak signal)
adaptive_panel,immune,classical monocyte,641,intermediate,adaptive_panel,513,727,80,317,0.870126245074239,0.019795487327747153,0.6985445556933005,0.030468349947293163,0.5879116850730991,0.00810447311015063,0.5879116850730991,0.00810447311015063,0.5304969074544633,0.01305976264724888,0.5304969074544633,0.01305976264724888,0.10477108974009752,0.009146120767801903,0.10477108974009752,0.009146120767801903,-0.08487103320658207,0.025732149167339357,-0.08487103320658207,0.025732149167339357,76.50234009360375,0.312207488299532,0.2091664739144771,0.150368332862854,False,Null-overlap (weak signal)
adaptive_panel,immune,erythrocyte,506,intermediate,adaptive_panel,405,727,80,317,0.9257771405163572,0.022873470510660805,0.6168902507976851,0.08556266107487419,0.5690193915565656,0.007066968206637718,0.5690193915565656,0.007066968206637718,0.5197458417608116,0.011847512572688318,0.5197458417608116,0.011847512572688318,0.1119261384010315,0.025136378478770132,0.1119261384010315,0.025136378478770132,-0.11483379825949669,0.0322711196627177,-0.11483379825949669,0.0322711196627177,22.729249011857707,0.06968873517786561,0.06359646388449022,0.08002428710460663,False,Null-overlap (weak signal)
adaptive_panel,immune,natural killer cell,467,intermediate,adaptive_panel,374,727,80,317,0.862359753166425,0.019657749558112125,0.6226358784514641,0.03724191202596489,0.5327999977295474,0.003620363206375674,0.5327999977295474,0.003620363206375674,0.5288293073795383,0.012455034128571385,0.5261077206737946,0.009737220745884245,0.0425930991768837,0.014903607161884073,0.0425930991768837,0.014903607161884073,-0.16048122383654118,0.059525176391212554,-0.16048122383654118,0.059525176391212554,49.17558886509636,0.257441113490364,0.12323779544579469,0.1879810392856598,False,Null-overlap (weak signal)
adaptive_panel,immune,"naive thymus-derived CD4-positive, alpha-beta T cell",316,intermediate,adaptive_panel,253,727,80,317,0.917136428737202,0.016230728843465665,0.536834456090731,0.052353229907527256,0.5097117424020252,0.004610873039764891,0.5097117424020252,0.004610873039764891,0.5298170724785206,0.008057154000041818,0.5097117424020252,0.004610873039764891,-0.013852221891283989,0.00920202478335772,-0.013852221891283989,0.00920202478335772,-0.06980056874454021,0.00782548599505391,-0.06980056874454021,0.00782548599505391,45.110759493670884,0.2518987341772152,0.11476260831370043,0.08492942154407501,False,Null-overlap (weak signal)
adaptive_panel,immune,T cell,218,intermediate,adaptive_panel,174,727,80,317,0.8204454073702809,0.04322009780141933,0.5842345521955209,0.06045135295393475,0.5278770181011827,0.004618074547079226,0.5278770181011827,0.004618074547079226,0.5382173920447129,0.014288396632660174,0.5245701986078342,0.0076976592744975635,-0.001360202208161354,0.019352841870250548,-0.001360202208161354,0.019352841870250548,-0.0766938328742981,0.02242211668133436,-0.0766938328742981,0.02242211668133436,41.22477064220183,0.2374426605504587,0.10485341359650392,0.19560487568378448,False,Null-overlap (weak signal)
adaptive_panel,immune,mast cell,203,intermediate,adaptive_panel,162,727,80,317,0.8766306595233463,0.025888405500429555,0.5917900977151956,0.03755432901150956,0.5280724898728357,0.003790211816477865,0.5280724898728357,0.003790211816477865,0.5227297130337218,0.010447772449446505,0.5213221507239905,0.009593688982348001,0.03207726590335369,0.009028875536695733,0.03207726590335369,0.009028875536695733,-0.1550462618470192,0.04526741031246409,-0.1550462618470192,0.04526741031246409,45.95073891625616,0.21373152709359605,0.12288853320072726,0.23984640836715698,False,Null-overlap (weak signal)
adaptive_panel,immune,intermediate monocyte,189,intermediate,adaptive_panel,151,727,80,317,0.908446646820472,0.01692809884274926,0.6177608177723416,0.04270414358554322,0.5360876602797576,0.006962323919573211,0.5360876602797576,0.006962323919573211,0.5235486132265211,0.006249035337768229,0.5235486132265211,0.006249035337768229,0.07380995526909828,0.016850969830420275,0.07380995526909828,0.016850969830420275,-0.1262594610452652,0.025921932327569754,-0.1262594610452652,0.025921932327569754,85.35449735449735,0.3410714285714286,0.2334551766728423,0.1507866382598877,False,Null-overlap (weak signal)
adaptive_panel,immune,mature NK T cell,183,intermediate,adaptive_panel,146,727,80,317,0.8918953429667011,0.014608903766947364,0.5693400072167317,0.04275395374383702,0.5234094297569292,0.003929610571444517,0.5234094297569292,0.003929610571444517,0.5327142644963663,0.010739881159957694,0.5224442509304126,0.004227019861579978,-0.006850086152553558,0.012960777911234768,-0.006850086152553558,0.012960777911234768,-0.08619087003171444,0.0232927849969902,-0.08619087003171444,0.0232927849969902,53.202185792349724,0.2835382513661202,0.1354915447070383,0.24151572585105896,False,Null-overlap (weak signal)
adaptive_panel,immune,mononuclear phagocyte,180,intermediate,adaptive_panel,144,727,80,317,0.8960777967814586,0.01870001029634558,0.6558024513859367,0.049140879023260725,0.5409712617472269,0.005117420319401171,0.5409712617472269,0.005117420319401171,0.5501221314251441,0.015614243161214039,0.5396253091126505,0.006889404150549184,0.09755030833184719,0.01498859226076612,0.09755030833184719,0.01498859226076612,-0.1445121467113495,0.0754192801033767,-0.1445121467113495,0.0754192801033767,90.46666666666667,0.36333333333333334,0.24770417104801962,0.17003677785396576,False,Null-overlap (weak signal)
adaptive_panel,immune,"CD4-positive, alpha-beta thymocyte",176,intermediate,adaptive_panel,141,727,80,317,0.9542681876094415,0.00931067270786866,0.6043051867657665,0.04224106843438257,0.5093989639168333,0.002590115997095002,0.5093989639168333,0.002590115997095002,0.5290429900724463,0.01187009985694397,0.5093989639168333,0.002590115997095002,-0.0265637319535017,0.011707840889097737,-0.0265637319535017,0.011707840889097737,-0.07700485177338123,0.024248628720369227,-0.07700485177338123,0.024248628720369227,39.82386363636363,0.22691761363636365,0.10065959277315745,0.11480037868022919,False,Null-overlap (weak signal)
adaptive_panel,immune,regulatory T cell,105,intermediate,adaptive_panel,84,727,80,317,0.8779760385771919,0.03298961326514479,0.48599086935520924,0.06669888945604881,0.5029732285267223,0.005557376394499815,0.5029732285267223,0.005557376394499815,0.5401543718509296,0.015125072241499012,0.5029732285267223,0.005557376394499815,-0.04410758428275585,0.021127589301450676,-0.04410758428275585,0.021127589301450676,-0.09497115015983582,0.01301654585832454,-0.09497115015983582,0.01301654585832454,45.21904761904762,0.22654761904761905,0.11834159531320415,0.08275109529495239,False,Null-overlap (weak signal)
adaptive_panel,immune,gamma-delta T cell,80,rare,adaptive_panel,64,727,80,317,0.8839005531399907,0.032563239115193855,0.5415257728692334,0.05374779607599768,0.5032151736233963,0.003242058330340374,0.5032151736233963,0.003242058330340374,0.5359843073889985,0.015221503289422145,0.5032151736233963,0.003242058330340374,-0.08810820057988167,0.02438063698542391,-0.08810820057988167,0.02438063698542391,-0.10530553944408894,0.011427524222014004,-0.10705783404409885,0.0117639150545607,45.0375,0.25265625,0.1128154574132492,0.06866785883903503,False,Null-overlap (weak signal)
adaptive_panel,immune,hematopoietic precursor cell,76,rare,adaptive_panel,61,727,80,317,0.908298758559268,0.018710492569049948,0.6300236188674772,0.043989880463640656,0.5541417784076181,0.009453432938251701,0.5541417784076181,0.009453432938251701,0.533021958113935,0.009193343514789981,0.5322884363961107,0.007980945230018096,0.0746043361723423,0.016345491840342428,0.0746043361723423,0.016345491840342428,-0.1427045539021492,0.05556285043743891,-0.1427045539021492,0.05556285043743891,67.11842105263158,0.3023026315789474,0.1816785654989208,0.18317270278930664,False,Null-overlap (weak signal)
adaptive_panel,immune,basophil,58,rare,adaptive_panel,46,727,80,317,0.873033534428969,0.05784607769581176,0.5978159357539731,0.055116025089120835,0.5063767787576462,0.004287549410301161,0.5063767787576462,0.004287549410301161,0.5234482166541476,0.009571376351752769,0.5061911219630333,0.004300494988714837,-0.061909012496471405,0.031102624506699067,-0.061909012496471405,0.031102624506699067,-0.15303514152765274,0.03093181759378182,-0.15303514152765274,0.03093181759378182,48.36206896551724,0.22349137931034482,0.12911998259545307,0.22325021028518677,False,Null-overlap (weak signal)
adaptive_panel,immune,tissue-resident macrophage,45,rare,adaptive_panel,40,727,80,317,0.9329121872008156,0.013742339575169214,0.6846198933814373,0.05733529526335411,0.5191078682532084,0.005959182209381113,0.5191078682532084,0.005959182209381113,0.5295453276925202,0.00857600245674045,0.5186818036474821,0.005498952989157589,-0.05029866844415665,0.013908040502278658,-0.05029866844415665,0.013908040502278658,-0.15116440504789352,0.03424835266930004,-0.15116440504789352,0.03424835266930004,91.75555555555556,0.3852777777777778,0.24619698562916228,0.156260147690773,False,Null-overlap (weak signal)
adaptive_panel,immune,non-classical monocyte,42,rare,adaptive_panel,40,727,80,317,0.9612558945938244,0.02833992658266763,0.731899913983754,0.10096687881953781,0.5110541474545389,0.005634582427588261,0.5110541474545389,0.005634582427588261,0.5406256090015874,0.006079397817091635,0.5110541474545389,0.005634582427588261,-0.09172985330224037,0.0256811343683365,-0.09172985330224037,0.0256811343683365,-0.1378425732254982,0.02357699852747113,-0.1393960937857628,0.021782326436602523,71.73809523809524,0.2976190476190476,0.19408141805618145,0.15790092945098877,False,Null-overlap (weak signal)
adaptive_panel,immune,"naive thymus-derived CD8-positive, alpha-beta T cell",42,rare,adaptive_panel,40,727,80,317,0.9759473501273419,0.00916463547945454,0.7751880859881705,0.048830604575665154,0.49798213532275426,0.002060933208132548,0.49798213532275426,0.002060933208132548,0.5282769488523809,0.01072543274468328,0.49798213532275426,0.002060933208132548,-0.10095265507698059,0.0213436903661955,-0.10095265507698059,0.0213436903661955,-0.13573023304343224,0.042090609282844416,-0.14531145244836807,0.03224231084854725,47.833333333333336,0.24910714285714286,0.12227730208802765,0.11158829927444458,False,Null-overlap (weak signal)
adaptive_panel,external_lung,natural killer cell,919,abundant,adaptive_panel,735,951,80,320,0.6805003193788689,0.034475665571715754,0.5174890904669176,0.04092429182882455,0.5520813637976959,0.009912047138293826,0.5520813637976959,0.009912047138293826,0.5018937948985018,0.010679540247126992,0.5018937948985018,0.010679540247126992,0.007513086311519146,0.008839130766211442,0.007513086311519146,0.008839130766211442,-0.03647293336689472,0.015526738259436448,-0.03647293336689472,0.015526738259436448,99.42763873775843,0.15882752992383026,0.2924680359085963,0.2731289267539978,False,Null-overlap (weak signal)
adaptive_panel,external_lung,club cell,898,abundant,adaptive_panel,718,951,80,320,0.722440638478295,0.015647957029115225,0.5531399683387724,0.03064422129034303,0.6088867106515805,0.009642183610688566,0.6088867106515805,0.009642183610688566,0.5123450493752219,0.008719357715324182,0.5123450493752219,0.008719357715324182,0.03267683740705252,0.002877866052009972,0.03267683740705252,0.002877866052009972,-0.03715333342552185,0.006797848768938283,-0.03715333342552185,0.006797848768938283,197.39977728285078,0.31585467706013365,0.5759709075723831,0.2605205476284027,False,Null-overlap (weak signal)
adaptive_panel,external_lung,capillary endothelial cell,872,abundant,adaptive_panel,698,951,80,320,0.7535062913425435,0.018659155490896983,0.6029993341957008,0.0434934972239542,0.5683010771770486,0.00587581298645595,0.5683010771770486,0.00587581298645595,0.5164695334259913,0.007621048419184467,0.5164695334259913,0.007621048419184467,0.029552913270890713,0.0031851159295287726,0.029552913270890713,0.0031851159295287726,-0.03553175739943981,0.007622693915911598,-0.03553175739943981,0.007622693915911598,119.10091743119266,0.1596330275229358,0.3559633027522936,0.26762962341308594,False,Null-overlap (weak signal)
adaptive_panel,external_lung,endothelial cell,816,abundant,adaptive_panel,653,951,80,320,0.7580241746672964,0.019359569408243,0.6520254710517668,0.0312875486026487,0.6075385807844087,0.006366011612460042,0.6075385807844087,0.006366011612460042,0.5127554038529369,0.012557128467720438,0.5127554038529369,0.012557128467720438,0.06068084295839071,0.0061383935194562565,0.06068084295839071,0.0061383935194562565,-0.06786760687828064,0.026639977800412627,-0.06786760687828064,0.026639977800412627,144.8933823529412,0.19802389705882353,0.4317670036764706,0.2596583962440491,False,Null-overlap (weak signal)
